Iterasi,Accuracy,Sensitivity,Specificity,AUC,Method,,,,,
1,91.50,91.66,95.81,93.47,SVM,,,,,
2,91.21,91.42,95.66,93.40,SVM,,,,,
3,91.83,91.98,95.96,94.04,SVM,,,,,
4,91.38,91.55,95.74,93.36,SVM,,,,,
5,91.50,91.77,95.82,93.69,SVM,,,,,
6,90.92,91.09,95.51,93.10,SVM,,,,,
7,91.08,91.28,95.60,93.32,SVM,,,,,
8,91.29,91.50,95.72,93.41,SVM,,,,,
9,91.42,91.54,95.75,93.43,SVM,,,,,
10,91.25,91.37,95.67,93.40,SVM,,,,,
11,91.54,91.76,95.83,93.84,SVM,,,,,
12,91.08,91.24,95.59,93.03,SVM,,,,,
13,91.12,91.28,95.61,93.15,SVM,,,,,
14,91.46,91.58,95.78,93.33,SVM,,,,,
15,91.29,91.45,95.70,93.36,SVM,,,,,
16,91.38,91.55,95.73,93.59,SVM,,,,,
17,90.87,91.07,95.49,93.13,SVM,,,,,
18,91.62,91.81,95.87,93.54,SVM,,,,,
19,91.42,91.55,95.75,93.25,SVM,,,,,
20,91.04,91.29,95.60,93.14,SVM,,,,,
21,91.50,91.71,95.82,93.61,SVM,,,,,
22,91.12,91.37,95.64,93.55,SVM,,,,,
23,91.00,91.18,95.56,93.06,SVM,,,,,
24,91.08,91.27,95.59,93.21,SVM,,,,,
25,91.29,91.48,95.70,93.02,SVM,,,,,
26,91.04,91.21,95.57,93.27,SVM,,,,,
27,91.08,91.30,95.60,93.19,SVM,,,,,
28,91.46,91.61,95.78,93.30,SVM,,,,,
29,91.67,91.82,95.88,93.69,SVM,,,,,
30,91.42,91.65,95.77,93.68,SVM,,,,,
31,91.21,91.33,95.64,93.31,SVM,,,,,
32,91.25,91.45,95.68,93.20,SVM,,,,,
33,91.25,91.41,95.68,93.30,SVM,,,,,
34,91.17,91.30,95.62,93.18,SVM,,,,,
35,91.50,91.62,95.80,93.28,SVM,,,,,
36,90.83,90.98,95.46,93.01,SVM,,,,,
37,91.33,91.52,95.74,93.30,SVM,,,,,
38,91.12,91.33,95.62,93.37,SVM,,,,,
39,91.29,91.45,95.70,93.36,SVM,,,,,
40,91.25,91.43,95.68,93.16,SVM,,,,,
1,90.29,90.63,95.26,92.30,NB,,,,,
2,90.29,90.63,95.26,92.18,NB,,,,,
3,90.67,91.03,95.45,92.67,NB,,,,,
4,90.54,90.79,95.36,92.40,NB,,,,,
5,90.42,90.77,95.32,92.33,NB,,,,,
6,90.29,90.58,95.24,92.35,NB,,,,,
7,90.46,90.77,95.34,92.53,NB,,,,,
8,90.33,90.72,95.30,92.22,NB,,,,,
9,90.58,90.84,95.38,92.48,NB,,,,,
10,90.29,90.55,95.24,92.30,NB,,,,,
11,90.96,91.29,95.58,92.96,NB,,,,,
12,90.21,90.51,95.21,92.20,NB,,,,,
13,90.38,90.66,95.28,92.36,NB,,,,,
14,90.62,90.89,95.42,92.53,NB,,,,,
15,90.17,90.51,95.20,92.11,NB,,,,,
16,90.38,90.72,95.29,92.33,NB,,,,,
17,90.17,90.43,95.16,92.34,NB,,,,,
18,90.92,91.27,95.57,92.70,NB,,,,,
19,90.21,90.49,95.20,91.88,NB,,,,,
20,90.08,90.43,95.17,91.99,NB,,,,,
21,90.75,91.05,95.48,92.59,NB,,,,,
22,90.25,90.66,95.26,92.35,NB,,,,,
23,90.08,90.39,95.15,91.97,NB,,,,,
24,90.54,90.82,95.36,92.49,NB,,,,,
25,90.58,90.91,95.40,92.07,NB,,,,,
26,90.08,90.42,95.15,92.21,NB,,,,,
27,90.17,90.48,95.19,91.90,NB,,,,,
28,90.67,90.95,95.42,92.53,NB,,,,,
29,90.62,90.96,95.43,92.37,NB,,,,,
30,90.58,90.90,95.39,92.51,NB,,,,,
31,90.46,90.66,95.30,92.35,NB,,,,,
32,90.38,90.72,95.30,92.12,NB,,,,,
33,90.33,90.67,95.28,92.27,NB,,,,,
34,90.00,90.28,95.09,91.80,NB,,,,,
35,90.25,90.49,95.23,91.96,NB,,,,,
36,90.12,90.42,95.15,92.15,NB,,,,,
37,90.50,90.82,95.36,92.39,NB,,,,,
38,90.42,90.73,95.30,92.50,NB,,,,,
39,90.38,90.66,95.28,92.34,NB,,,,,
40,90.33,90.63,95.28,92.00,NB,,,,,
1,91.50,91.62,95.80,93.59,BNN,,,,,
2,91.25,91.40,95.67,93.45,BNN,,,,,
3,92.12,92.24,96.11,94.19,BNN,,,,,
4,91.54,91.66,95.82,93.49,BNN,,,,,
5,91.67,91.83,95.87,93.85,BNN,,,,,
6,91.25,91.38,95.67,93.25,BNN,,,,,
7,91.42,91.55,95.75,93.54,BNN,,,,,
8,91.92,92.03,96.01,93.86,BNN,,,,,
9,91.67,91.78,95.88,93.60,BNN,,,,,
10,91.46,91.56,95.77,93.60,BNN,,,,,
11,91.83,92.04,95.98,94.00,BNN,,,,,
12,91.46,91.61,95.78,93.34,BNN,,,,,
13,91.33,91.43,95.70,93.35,BNN,,,,,
14,91.58,91.70,95.85,93.47,BNN,,,,,
15,91.67,91.81,95.88,93.71,BNN,,,,,
16,91.79,91.90,95.93,93.80,BNN,,,,,
17,91.17,91.34,95.63,93.42,BNN,,,,,
18,91.79,91.87,95.93,93.70,BNN,,,,,
19,91.54,91.65,95.81,93.50,BNN,,,,,
20,91.21,91.39,95.66,93.46,BNN,,,,,
21,91.96,92.07,96.03,93.70,BNN,,,,,
22,91.79,91.94,95.95,93.92,BNN,,,,,
23,91.21,91.30,95.64,93.19,BNN,,,,,
24,91.21,91.36,95.65,93.36,BNN,,,,,
25,91.92,92.03,96.00,93.43,BNN,,,,,
26,91.29,91.41,95.69,93.45,BNN,,,,,
27,91.67,91.79,95.87,93.64,BNN,,,,,
28,91.75,91.82,95.90,93.53,BNN,,,,,
29,91.92,92.05,96.00,93.82,BNN,,,,,
30,91.83,92.01,95.97,93.97,BNN,,,,,
31,91.83,91.93,95.94,93.86,BNN,,,,,
32,91.46,91.58,95.77,93.35,BNN,,,,,
33,91.58,91.72,95.84,93.67,BNN,,,,,
34,91.54,91.66,95.81,93.44,BNN,,,,,
35,91.42,91.51,95.75,93.29,BNN,,,,,
36,91.12,91.27,95.61,93.23,BNN,,,,,
37,91.50,91.66,95.81,93.47,BNN,,,,,
38,91.46,91.63,95.77,93.62,BNN,,,,,
39,91.54,91.67,95.81,93.56,BNN,,,,,
40,91.79,91.94,95.94,93.67,BNN,,,,,
